# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
environmental legislation	législation en matière d'environnement
environmental legislation on agriculture	législation environnementale sur l'agriculture
environmental legislative process	procédure législative en matière d'environnement
environmental liability	responsabilité écologique
environmental licence	permis applicable à l'environnement
environmental management	management environnemental
environmental medicine	médecine environnementale
environmental misconduct	méfait écologique
environmental monitoring	surveillance de l'environnement
environmental noise	bruit ambiant
environmental occupation	métier de l'environnement
environmental perception	perception de l'environnement
environmental plan	plan écologique
environmental planning	planification écologique
environmental policy	politique de l'environnement ; politique environnementale
environmental policy instrument	instrument de gestion de l'environnement
environmental pollution	pollution de l'environnement
environmental priority	priorité environnementale
environmental problem solving	apport de solution à un problème environnemental
environmental programme	programme environnemental
environmental protection	protection de l'environnement
environmental protection agency	agence pour la protection de l'environnement
environmental protection association	association de défense de l'environnement
environmental protection cost	coût de protection de l'environnement
environmental protection in the enterprise	défense de l'environnement dans le cadre de l'entreprise
environmental protection order	décret sur la protection de l'environnement
environmental protection organisation	organisation de protection de l'environnement
environmental protection regulation	réglementation de la protection de l'environnement
environmental protection technology	technologie de protection de l'environnement
environmental psychology	psychologie environnementale
environmental quality	qualité de l'environnement
environmental quality criterion	critère de qualité de l'environnement
environmental quality objective	objectif de qualité environnementale
environmental quality standard	norme de qualité de l'environnement
environmental report	rapport sur l'environnement
environmental research	recherche sur l'environnement et développement
environmental risk	risque pour l'environnement
environmental risk assessment	évaluation des risques pour l'environnement
environmental science	sciences de l'environnement
environmental security	sécurité écologique
environmental specimen bank	banque d'échantillons de l'environnement
environmental statement (eco-audit) ; environmental statement ; eco-audit	éco-audit
environmental statistics	statistiques de l'environnement
environmental stock exchange	bourse des valeurs environnementales
environmental study	étude d'environnement
environmental subsidy	encouragement et subventions écologiques
environmental sustainable architecture	architecture "durable"
environmental tax	écotaxe
environmental teaching	enseignement de l'environnement
environmental technology	technologie de l'environnement
environmental terminology	terminologie de l'environnement
environmental training	formation en matière d'environnement
environmental warfare	guerre mésologique
environmentalism	écologisme
environmentally dangerous substance	substance dangereuse pour l'environnement
environmentally friendly management	management environnemental
environmentally friendly product	produit propre
environmentally related disease	maladie liée au milieu environnant
environmentally responsible behaviour	comportement écologique
environmentally unfriendly firm	entreprise non respectueuse de l'environnement
enzyme	enzyme
ephemeral	éphémère
epicentre	épicentre
epidemic	épidémie
epidemiology	épidémiologie
epigram	épigramme
epilepsy	épilepsie
equation	équation
equator	équateur
equatorial climate	climat équatorial
equine	équidé
equipment	équipement
equivalent dose	dose équivalente
erbium	erbium
ergonomics	ergonomie
erosion	érosion
erosion control	aménagement antiérosif
estate rental	location immobilière
estimate	estimation
estuarine biology	biologie estuarienne
estuarine conservation area	zone préservée de l'estuaire
estuary	estuaire
estuary pollution	pollution d'estuaire
etching	gravure
etching substance	substance corrosive
ethanol	éthanol
ether	éther
ethics	éthique
ethnography	ethnographie
ethnology	ethnologie
ethology	éthologie
europium	europium
eutrophication	eutrophisation
evaluation	évaluation
evaluation criterion	critère d'évaluation
evaluation method	méthode d'évaluation
evaluation of technology	évaluation de technologie
evaporation	évaporation
evapotranspiration	évapotranspiration
evolution	évolution
exact science	science exacte
excavated hole	cavité creusée
excavation (process) ; excavation ; earthworks ; digging	creusement
excavation heap	tas de déblai
excavation side	talus
excavation site	terrain de déblayement
exception	exception
exceptional tax	taxe parafiscale
excessive height of chimney stacks	hauteur excessive des cheminées d'usine
exchange policy	politique des changes
executioner	bourreau ; exécuteur des hautes-œuvres
executive order	mandat exécutif
exhaust device	dispositif d'évacuation
exhaust gas	gaz d'échappement
exhibit	pièce d'exposition
existing chemical	produits chimiques existant
exotic species	espèce exotique
expenditure	dépense
experiment	expérience scientifique
experimental study	étude expérimentale
expert system	système expert
explicit	explicite
exploitation of underground water	exploitation de nappe souterraine
exploration	exploration
explosion	explosion
explosive	explosif
export	exportation
export licence	permis d'exportation
export of hazardous wastes	exportation de déchets dangereux
exposure	exposition
expropriation	expropriation
extensive cattle farming	élevage extensif de bétail
externality	externalité économique
extinct species	espèce éteinte
extinction (ecological) ; extinction	extinction
extraction	extraction
extractive industry	industrie minière
eye	œil ; yeux
eyebrow	sourcil
fabric	tissu
face	face ; figure ; visage
factor market	marché des facteurs de production
factory farming	élevage industriel
faecal bacterium	bactérie fécale
fallout	retombée
fallow area	zone en friche
family	famille
family law	droit de la famille
family planning	planning familial
famine	famine
farm	ferme (exploitation) ; ferme
farm animal	animal d'élevage
farm building	ferme (bâtiment) ; ferme
farm price	prix agricole
farming technique	technique culturale
fascism	fascisme
fast reactor	surgénérateur
fast traffic	trafic à grande vitesse
fat ; obese	obèse ; gros
father	père
fault	faille
fauna	faune
fauna restoration	restauration de la vie sauvage
feather	plume
federal authority	autorité fédérale
federal government	gouvernement fédéral
federal law	loi fédérale
fee	frais administratifs
feeding of animals	alimentation des animaux
feeling for nature	sentiment de la nature
felid	félidé
female ; woman	bonne femme ; femme ; gonzesse ; meuf ; nana
fen	fagne
fermentation	fermentation
fermium	fermium
fern	fougère
ferry	ferry
fertilisation ; fecundation	fécondation
fertiliser	engrais
fertiliser law	loi sur les engrais
fibre	fibre
fibreglass	fibre de verre
field ; land ; land ; acre ; patch	champ
field damage	détérioration du terrain
field experiment	expérience de terrain
field study	étude de terrain
filling material	matériau de remplissage
filling station	station-service
film	film ; pellicule
