# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
agricultural engineering	Agraringenieurwesen
agricultural equipment	landwirtschaftliches Gerät
agricultural equipment ; agricultural machinery ; farm machinery	Landmaschine ; landwirtschaftliches Gerät
agricultural exploitation	landwirtschaftliche Nutzung
agricultural hydraulics	landwirtschaftlicher Wasserbau
agricultural land	Agrarraum
agricultural landscape	Agrarlandschaft
agricultural legislation	Agrarrecht
agricultural management	Agrarmanagement
agricultural method	Agrarmethode
agricultural pest	Agrarschädling ; Schädling
agricultural planning	Agrarplanung
agricultural policy	Agrarpolitik ; Landwirtschaftspolitik
agricultural pollution	landwirtschaftliche Verschmutzung
agricultural product	Agrarprodukt
agricultural production ; farm production ; agricultural output	Agrarproduktion
agricultural real estate	landwirtschaftliches Grundeigentum
agricultural storage	Lagerung landwirtschaftlicher Erzeugnisse
agricultural structure	Agrarstruktur
agricultural undervaluation	landwirtschaftliche Unterbewertung
agricultural waste	landwirtschaftlicher Abfall
agriculture	Landwirtschaft
agriculture ; agriculture	Landwirtschaft ; Landwirtschaft
agriculture and cattle industry	Land- und Viehwirtschaft
agriculture framework plan	Landwirtschaftsrahmenplan
agritourism	Agrartourismus
agrochemical	Agrochemikalie ; Agrarchemikalie
agroforestry	Agroforstwirtschaft
agroindustry	Agrarindustrie
agrometeorology	Agrometeorologie
agronomic value	agronomischer Wert
agronomy	Agrarwissenschaft
agrosystem	Agrarsystem
aid policy	Beihilfepolitik
air	Luft
air conditioning ; AC ; air-conditioning	Klimatisierung ; Klimaanlage
air movement	Luftbewegung
air pollutant	Luftschadstoff
air pollution	Luftverunreinigung
air quality	Luftgüte ; Luftqualität
air quality control	Luftgüteüberwachung
air quality management	Luftreinhaltung
air quality monitoring	Immissionsüberwachung
air sac ; alveolus	Alveole
air safety	Luftsicherheit
air temperature	Lufttemperatur
air traffic	Luftverkehr
air traffic law	Luftverkehrsgesetz
air transportation	Lufttransport
air-water interaction	Luft-Wasser-Wechselwirkung
airborne noise	Luftschall
aircraft	Luftfahrzeug
aircraft noise	Fluglärm
airmail	Luftpost
airport	Flughafen
airspace planning	Luftraumplanung
alarm ; alert ; warning	Alarmierung
alarm clock	Wecker ; Weckuhr ; Weckeruhr
albinism	Albinismus
alchemist	Alchemist ; Alchimist
alchemy	Alchimie ; Alchemie ; Alchymie
alcohol	Alkohol
alcoholism	Alkoholismus
alga	Algen
algal bloom	Algenblüte
algebra	Algebra
algicide ; algaecide	Algizid
algorithm	Algorithmus
alibi	Alibi
alicyclic compound	alicyclische Verbindung ; alizyklische Verbindung
alicyclic hydrocarbon	alicyclischer Kohlenwasserstoff
alignment	Trassierung
aliphatic compound	aliphatische Verbindung
aliphatic hydrocarbon	aliphatischer Kohlenwasserstoff
alkali soil	alkalischer Boden
alkaline ; element of group I ; alkaline metal ; alkali metal	Alkalimetall ; Element der Gruppe I
alkaline battery	Alkali-Batterie ; alkalische Batterie
alkane ; paraffin ; methane series ; alkane series	Alkan
alkyl compound	Alkylverbindung
all-terrain vehicle	Geländefahrzeug
allergen	Allergen
allergy	Allergie
allocation ; allotment ; resource allotment	Allokation ; Zuteilung
allocation plan	Bebauungsplan
allotropy	Allotropie
allowance	finanzielle Zuwendung
alloy	Legierung
alluvial plain	Flußmarsch
alluvion ; flood ; overflowing ; inundation	Anschwemmung ; Überschwemmung ; Alluvion
almanac	Almanach
almond	Mandel
almost	fast ; beinahe ; beinah ; nahezu ; annähernd
alongside ; amongst ; with	mit
alpha radiation	Alphastrahlung ; α-Strahlung
alphabet	Alphabet
alternative material	Ersatzstoff
alternative technology	Alternativtechnologie
altitude	Höhe
alumina	Tonerde
aluminium	Aluminium
aluminium container	Aluminiumbehälter
aluminium content	Aluminiumgehalt
aluminium industry	Aluminiumindustrie
amalgam	Amalgam
ambassador	Botschafter
amber	Bernstein
ambitious	ehrgeizig
ambulance	Ambulanz ; Krankenwagen
americium	Americium
amethyst	Amethyst
amine	Amin
amino acid	Aminosäure
ammonia	Ammoniak
ammonification	Ammonifikation
ammonium	Ammonium
amphetamine	Amphetamin
amphibian	Amphibien
amphitheatre	Amphitheater
amusement park	Freizeitpark
anaconda	Anakonda
anaerobic process	anaerober Prozess
anaerobic treatment	anaerobe Behandlung
anagram	Anagramm
analogous	analog
analogy	Analogie
analysis	Analyse
analysis programme	Untersuchungsprogramm
analytical chemistry	analytische Chemie
analytical equipment	Analysenausrüstung
analytical method	Analysenverfahren ; Analysemethode ; Analyseverfahren
anarchism	Anarchismus
anarchy	Anarchie
anatomy	Anatomie
anchor	Anker
and	und
and ; as well as ; in addition to ; together with ; too	sowie ; und
angel	Engel
angiosperm ; flowering plant	Bedecktsamer ; Blütenpflanzen
angling ; fishing ; line-fishing	Angeln
animal	Tier
animal behaviour	Tierverhalten
animal biology	Tierbiologie ; Zoologie
animal conservatory	Tierreservat
animal corridor	Tierkorridor
animal damage	Schaden durch Tiere
animal disease	Tierkrankheit
animal displacement	Tierartenvertreibung
animal ecology	Tierökologie
animal excrement	Tierfäkalien
animal experiment	Tierversuch
animal foodstuff	Tierfutter
animal for slaughter	Schlachtvieh
animal habitat	Tierhabitat
animal heritage	Tiererbgut
animal husbandry	Tierhaltung ; Viehzucht
animal manure	Dünger ; Tiermist ; Stallmist
animal migration	Tierwanderung
animal noise	Tierlärm
animal nutrition	Tierernährung
animal physiology	Tierphysiologie
animal population	Tierbestand
animal product	tierisches Produkt
animal production	Tierproduktion
animal protection	Tierschutz
animal reproduction	Tierfortpflanzung
animal resource	Tierressourcen
animal rights	Tierrechte
animal shelter	Tierheim ; Unterstand
animal species	Tierart
animal species reintroduction	Wiedereinbürgerung von Tierarten
animal trade	Tierhandel
animal waste	tierische Abfälle
anime	Anime
anion	Anionen ; Anion
anise	Anis
ankle ; talocrural joint	Knöchel ; Fußknöchel
annelid	Ringelwurm
anniversary	Jahrestag
ant	Ameise ; Emse
antagonism	Antagonismus
antelope	Antilope
anthropic activity	anthropogene Aktivität
anthropologic reserve	anthropologisches Reservat
anthropologist	Anthropologe
anthropology	Anthropologie
antibiotic	Antibiotikum
antibody	Antikörper
anticipation of danger	Gefahrenvorsorge
antifouling agent	Antifouling
antimony	Antimon
antiparticle	Antiteilchen
antipollution incentive	Umweltschutzanreiz
antiquated plant	Altanlage
antiseismic regulation	Antiseismische Regelung ; antiseismische Regelung
antithesis	Antithese
antonym	Antonym ; Gegenwort
anvil	Amboss
anytime	immer ; jederzeit
apartheid	Apartheid
apartment block	Mehrfamilienhaus ; Mehrfamilienhaus
apathy	Apathie ; Leidenschaftslosigkeit ; Teilnahmslosigkeit
aphorism	Aphorismus
apiculture ; beekeeping	Bienenzucht
apoptosis	Apoptosis
apostle	Apostel
appeal	Anfechtung ; Berufung
appeal procedure	Beschwerdeverfahren
apple	Apfel
apple ; apple tree	Apfelbaum
applied ecology	Angewandte Ökologie
applied nutrition	angewandte Ernährung ; angewandte Ernährungswissenschaft
applied research	Anwendungsforschung
applied science	Angewandte Wissenschaft
appraisal	Bewerbung ; Bewertung
appreciate	schätzen ; begrüßen
approach	Annäherung
appropriate technology	angepasste Technologie
approval ; approbation	Billigung ; Genehmigung ; Zustimmung
approval of installations	Anlagengenehmigung
apricot	Aprikose
apron	Schürze
aquaculture	Aquakultur
aquamarine	Aquamarin
aquarium	Aquarium
aquatic animal	Wassertier
aquatic ecology	Wasserökologie
aquatic ecosystem	aquatisches Ökosystem
aquatic environment	aquatische Umwelt
aquatic mammal	Meeressäugetier
aquatic organism	Wasserorganismen
aquatic plant	Wasserpflanze
aqueduct	Aquädukt
aquifer	Grundwasserträger
arable farming	Ackerbau
arboretum	Arboretum
arboriculture	Baumzucht
archaeological	archäologisch
archaeological site	Bodendenkmal
archaeology ; archeology ; archæology	Archäologie
archbishop	Erzbischof
archduke	Erzherzog
archeologist ; archaeologist	Archäologe
archer ; archer	Bogenschütze
archipelago	Archipel
architect	Architekt ; Architekt ; Architektin ; Architektin
architecture	Architektur
archive	Archiv
area of potential pollution	Verdachtsfläche
area under stress	Belastungsgebiet
argon	Argon
argument	Streit ; Auseinandersetzung
arid land	Trockengebiet
aristocracy	Aristokratie
arithmetic ; arithmetics	Arithmetik
arm	Arm
armament	Bewaffnung ; Rüstung
armament conversion	Rüstungskonversion
armed forces	Militär
armistice	Waffenstillstand
armoury	Waffenlager
armpit	Achselhöhle
aromatic compound	aromatische Verbindung
aromatic hydrocarbon	aromatischer Kohlenwasserstoff
aromatic substance	Geruchsstoff
arrange ; adapt ; adjust ; conform ; accommodate ; suit	anpassen
arrangement for a deposit on packaging	Pfandregelung
arrival	Ankunft
arrow	Pfeil
arrowhead	Pfeilspitze
arsenic	Arsen
arson	Brandstiftung
arsonist	Brandstifter
art	Kunst
artery	Arterie
artful	listig
arthritis	Arthritis
arthropod	Arthropoden ; Gliederfüßer
artichoke	Artischoke ; Artischocke
article	Artikel ; Begleiter ; Geschlechtswort
artificial lake	künstlicher See
artificial reproductive technique	künstliche Fortpflanzung
artificial satellite	künstlicher Satellit
artist ; creative person	Künstler
asbestos	Asbest
asbestos cement	Asbestzement
asbestosis	Asbestose
ascendancy	Vormachtstellung
ascent	Besteigung ; Aufstieg
ascent	Aufstieg ; Anstieg
ascertain	feststellen
ascetic	Asket
ash	Asche
ashamed	beschämt
ashen	aschfahl
ashore	an das Ufer
ashtray	Aschenbecher
asleep	schlafen ; schlafend
asparagus	Spargel
asphalt	Asphalt
aspiration	Bestrebung
aspirin	Aspirin
assassin ; assassinator	Attentäter
assay	Untersuchung
assemble ; get together ; gather	zusammenberufen
assent	Zustimmung
assent	zustimmen
assert	beteuern
assert	geltend machen
assertive	bestimmt
assign	zuteilen
assignment	Auftrag
assimilate	aufnehmen
assimilation	Assimilation
assist	helfen
association	Verband
assorted	gemischt
assumption ; supposition	Annahme
astatine	Astat
asterisk	Sternchen
asteroid	Asteroid ; Planetoid
asthenosphere	Asthenosphäre
asthma	Asthma
astonish	erstaunen
astonishing	erstaunlich
astonishment	Erstaunen
astound	verblüfft
astounding	verblüffend
astride	rittlings
astride	mit gespreizten Beinen
astrologer	Astrologe
astrology ; star divination	Astrologie
astrometry	Astrometrie
astronautics	Astronautik
astronomer	Astronom
astronomy	Astronomie
astrophysics	Astrophysik
asymmetric ; asymmetrical	asymmetrisch
asymptote	Asymptote
atheist	Atheisten
atlas	Atlas
atmosphere	Atmosphäre ; Erdatmosphäre
atmospheric aerosol	atmosphärisches Aerosol
atmospheric chemistry	Atmosphärenchemie
atmospheric circulation	atmosphärische Zirkulation
atmospheric component	Bestandteil der Atmosphäre
atmospheric composition	Atmosphärische Zusammensetzung ; Zusammensetzung der Atmosphäre ; atmosphärische Zusammensetzung
atmospheric correction	atmosphärische Korrektur
atmospheric emission	Emission in die Atmosphäre
atmospheric fallout	Sedimentation aus der Atmosphäre
atmospheric layering	Atmosphärische Schichtung ; atmosphärische Schichtung ; Schichtung der Atmosphäre
atmospheric monitoring	Atmosphärische Überwachung ; Überwachung der Atmosphäre
atmospheric ozone	atmosphärisches Ozon
atmospheric particulate	atmosphärischer Schwebstoff
atmospheric physics	Aeronomie ; Physik der Atmosphäre
atmospheric pollution	atmosphärische Verunreinigung ; Luftverschmutzung
atmospheric precipitation ; precipitation	Niederschlag
atmospheric process	atmosphärischer Vorgang
atmospheric science	Atmosphärologie
atmospheric structure	Aufbau der Atmosphäre ; Struktur der Atmosphäre
atoll	Atoll
atom	Atom
atomic mass	Atommasse
atractive	attraktiv
atrazine	Atrazine
atrocity	Grausamkeit
attached	hängen an
attachment	Zuneigung
attachment	Zusatzgerät
attack	Angriff
attain	erreichen
attend	sich kümmern um
attend	besuchen
attend	achten
attend	sich kümmern
attendant	Wärter
attentive	aufmerksam
attic	Boden ; Speicher ; Dachboden
attire	Kleidung
attire	kleiden
attitude	Haltung
attract	anziehen
attribute	Eigenschaft
auction	Versteigerung ; Auktion
audacious	kühn
audio-visual presentation	audiovisuelle Darstellung ; audiovisuelle Präsentation
audiovisual equipment	audiovisuelle Ausrüstung
audiovisual media	audiovisuelle Medien
audit	Audit
augment	vermehren
auspicious	günstig ; vielversprechend
authorisation	Ermächtigung ; Authorisierung ; Autorisierung
authoritarian	autoritär
authoritative	maßgeblich
authority body	Behörde
authorship	Autorschaft
autocracy	Autokratie
autoecology	Autoökologie
automobile industry	Automobilindustrie ; Autoindustrie
autopsy	Autopsie
autumn	Herbst
available	verfügbar
avalanche	Lawine
avalanche protection	Lawinenschutz
avaricious	habgierig ; habsüchtig
avert	abwenden
aviary	Vogelhaus
aviation law	Luftfahrtrecht
aviculture	Vogelzucht
avid	begierig
avifauna	Avifauna
awe	Ehrfurcht
awhile	eine Weile
axiom	Axiom
aye ; yeah ; yep ; yes	ja ; jawohl ; jawohl ; jawoll ; jawoll
baboon	Pavian
background level	Hintergrundwert
background noise	Hintergrundgeräusch
background radiation	Hintergrundstrahlung
bacon	Speck
bacterial bed	Nährboden
bactericide	Bakterizid
bacteriological pollution	bakteriologische Verunreinigung
bacteriology	Bakteriologie
bacterium	Bakterien
badminton	Badminton
bag ; pocket ; steal	stehlen ; entwenden
bagpipes	Dudelsack ; Sackpfeife
baker	Bäcker
baker ; bakery	Bäckerei
baking powder	Backpulver
balance	Bilanz
balance of matter	Stoffbilanz
balancing of interests	Interessenausgleich
ballad	Ballade
ballot	Wahl
ballroom	Tanzsaal
banana	Banane
bank	Ufer
bank protection	Uferschutz
banking	Bankwesen
bankruptcy	Bankrott ; Pleite ; Konkurs ; Zahlungsunfähigkeit ; Insolvenz ; Falliment
barium	Barium
barley	Gerste
barometer	Barometer
baron	Baron
barrier beach	Strandwall
barrier reef	Barriereriff
base	Base
baseball ; baseball game	Baseball
baseline monitoring	Grundüberwachung
basement	Keller
basic food requirement	Grundnahrungsmittelbedarf
basicity	Basizität
basidiomycete	Basidiomyceten
basketball ; basketball game	Basketball
bassoon	Fagott
bastardisation of fauna	Faunenverfälschung
bastardisation of flora	Florenverfälschung
batch process	diskontinuierliches Verfahren
bathing freshwater	Badegewässer ; Badesee
bathing seawater	Badegewässer ; Badestrand
bathing water	Badegewässer
battery	Batterie
battery disposal	Batterieentsorgung
bay	Bucht
beach	Strand
beach cleansing	Strandreinigung
beak ; mouth	Mund ; Mund ; Maul ; Schnauze
bean ; edible bean	Bohne
bear	Bär
beatification	Seligsprechung ; Beatifikation
beaver	Biber
bed	Bett
bee	Biene
bee conservation	Bienenschutz
beef cattle	Schlachtrind
beehive	Bienenkorb
beekeeper ; apiculturist	Imker ; Bienenzüchter ; Zeidler ; Bienenvater
beer	Bier ; Gerstensaft
beetle	Käfer
behaviour	Verhalten
behaviour of substances	Stoffverhalten
behaviour pattern	Verhaltensmuster
behavioural science	Verhaltenswissenschaften
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	Bauchnabel ; Nabel
beneficial organism	Nützling
benthic division	Gewässerboden
benthos	Benthos
benzene	Benzol ; Benzen
benzopyrene	Benzpyren
berkelium	Berkelium
beryllium ; glucinium	Beryllium
beta radiation	Betastrahlung ; β-Strahlung
better	besser
between	zwischen ; zwischen ; zwischen
beverage ; drink	Getränk
beverage industry	Getränkeindustrie
bibliographic information	bibliographische Information
bibliographic information system	bibliographisches Informationssystem
bibliography	Bibliographie ; Bibliografie
bicycle ; bike ; cycle	Zweirad ; Fahrrad
big ; large	groß
big game	Großwild
bilateral	bilateral
bilateral convention	bilateraler Vertrag
bile	Galle
bilge oil	Bilgenöl
bilge water	Bilgenwasser
binary star	Doppelstern
bio-availability	Bioverfügbarkeit
bioaccumulation	Bioakkumulation
bioaccumulative pollutant	bioakkumulativer Schadstoff
biochemical method	biochemische Methode
biochemical oxygen demand	biochemischer Sauerstoffbedarf
biochemical process	biochemischer Vorgang
biochemical substance	biochemische Stoffe
biochemistry	Biochemie
biocide	Biozid
bioclimatology	Bioklimatologie
biocoenosis	Biozönose
bioconcentration factor	Biokonzentrationsfaktor
biodegradability	biologische Abbaubarkeit
biodegradable pollutant	biologisch abbaubarer Schadstoff
biodegradation	biologischer Abbau
biodiversity	Artenvielfalt ; Biodiversität
bioethics	Bioethik
biofiltration	Tropfkörperbehandlung
biofuel	Biokraftstoff
biogas	Biogas
biogeochemical cycle	biogeochemischer Kreislauf
biogeographical region	biogeographische Region
biogeography	Biogeographie
biological analysis	biologische Analyse
biological attribute	biologische Eigenschaft
biological contamination	biologische Verunreinigung
biological cycle	biologischer Kreislauf
biological development	biologische Entwicklung
biological effect	biologische Wirkung
biological effect of pollution	biologische Schadstoffwirkung
biological engineering	Biotechnik
biological heritage	biologisches Erbe
biological indicator	Bioindikator
biological monitoring	Biomonitoring ; biologische Überwachung
biological pest control	biologische Schädlingsbekämpfung
biological pollutant	biologischer Schadstoff
biological pollution	biologische Verunreinigung
biological process	biologischer Vorgang
biological production	biologische Produktion
biological reserve ; wildlife reserve	biologisches Schutzgebiet
biological resource	biologische Ressourcen
biological test	Biotest
biological treatment	biologische Behandlung
biological waste gas purification	biologische Abgasreinigung
biological waste treatment	biologische Abfallbehandlung
biological wastewater treatment	biologische Abwasserbehandlung
biological water balance	Wasserhaushalt
biological weapon	biologische Kampfmittel
biology ; biological science	Biologie
bioluminescence	Biolumineszenz
biomarker	Biomarker
biomass	Biomasse
biomass energy	Energie aus Biomasse
biome	Biom
biophysics	Biophysik
bioreactor	Bioreaktor
biorhythm	Biorhythmus
biosafety	Biosicherheit
biosphere	Biosphäre
biosphere reserve	Biosphärenreservat
biosynthesis	Biosynthese
biotechnological hazard	biotechnologische Gefahr
biotechnology	Biotechnologie
biotic factor	biotischer Faktor
biotic index	biotischer Index
biotope	Biotop
biotope network	Biotopvernetzung
biotope order	Biotopordnung
biotope protection	Biotopschutz
bird	Vogel
bird of prey	Greifvogel ; Raubvogel
bird sanctuary	Vogelschutzgebiet
bird species	Vogelart
birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition	Entbindung ; Geburt ; Kindsgeburt ; Niederkunft
birth control	Geburtenregelung ; Geburtenkontrolle
birthday	Geburtstag ; Jahrestag ; Wiegenfest
bishop	Bischof
bismuth	Wismut ; Bismut
bitumen	Bitumen
black	schwarz ; Schwarz
black ; dark	dunkel ; düster ; finster ; lichtlos
black coal ; black coal ; black coal ; anthracite coal	Steinkohle ; Steinkohle ; Anthrazit
blackbird	Amsel
blacksmith	Schmied
blast furnace	Hochofen
bleaching agent	Bleichmittel
bleaching clay	Bleicherde
bleaching process	Bleichverfahren
blind	blind
blister	Blase ; Bulla
blog ; weblog ; web log	Blog ; Weblog
blood	Blut
blood plasma	Blutplasma
blue	blau
blue-green alga ; cyanobacteria	Blaualgen
boat	Boot
boating	Bootsfahrt ; Bootfahren
bocage	Boskett
bog	Moor
bohrium	Bohrium
boiler	Kessel
boiling point	Siedepunkt
bonsai	Bonsai
book	Buch
bookkeeping	Buchhaltung
border	Grenze
boron	Bor
botanical conservatory	botanisches Gewächshaus
botanical garden	botanischer Garten
botany	Botanik
botany ; phytology	Botanik ; Pflanzenkunde
bottle cap	Flaschenverschluß
boundary	Grenze
boundary crossing	Grenzüberschreitung
boundary layer	Grenzschicht
bow	Bogen
boy	Bub ; Bursche ; Junge ; Jüngling ; Jüngling ; Knabe
brackish water	Brackwasser
branch	Ast ; Zweig
branch of activity	Tätigkeitsbereich des Unternehmens
bread	Brot
breakfast	Frühstück
breast milk	Muttermilch
breeding	Züchtung
breeding bird	Brutvogel
breeding technique	Zuchttechnik
brick	Ziegelstein
bridge	Brücke
bring	bringen
